noop,ycall-registration-minimal,ycall-deregistration-minimal,fork-simple,fork-ycall,vfork-simple,vfork-ycall
29,6629,7627,37064,42607,13112,13008
29,6972,7720,42895,42401,11913,11528
30,6428,7660,38625,46306,11631,13042
30,7025,7732,40503,44091,11507,12323
30,6371,7634,37716,43118,11993,12033
29,6688,7714,43319,46483,12114,14690
29,6594,7697,42539,42194,11011,11621
31,6365,7655,39168,42952,15156,13480
29,6555,7568,37401,45295,11618,12042
30,6946,7637,39135,42725,11367,11401
30,6348,7719,39472,42126,11335,11649
29,6575,7721,37122,42273,11307,11565
29,6381,7687,42658,48478,11142,11204
30,6615,7700,36888,44067,11938,11265
30,5911,7680,40481,45795,13011,11187
29,7379,7646,37547,49600,11428,11192
30,6802,7595,41718,45594,11155,11714
