noop,ycall-registration-minimal,ycall-deregistration-minimal,fork-simple,fork-ycall,vfork-simple,vfork-ycall
29,6457,7609,43280,48479,11483,11023
29,6519,7665,38097,44924,11833,10709
29,6766,7646,38098,43387,11361,14376
30,6633,7616,38221,48595,11660,11052
30,6605,7568,41951,43586,11717,12116
29,6579,7537,37960,44413,15032,11328
29,6736,7615,38006,44256,11766,13834
29,6585,7554,41705,47347,11177,11194
30,6571,7469,38690,42232,14575,10957
29,6363,7581,38087,43550,12367,11178
29,6543,7676,38811,46781,11515,18653
29,6551,7564,42823,42171,11586,11066
29,5552,7622,38344,43539,11285,10767
29,6920,7648,37890,42129,11269,11111
30,6478,7573,40837,45965,11422,19799
30,6328,7616,38364,43283,12514,12101
29,7066,7507,38443,44464,11525,10910
29,6578,7561,40379,47690,11721,11649
29,6455,7713,42365,42655,11815,16639
30,6561,7565,39332,43697,11446,10654
30,6282,7592,38221,46477,13883,10631
29,6629,7569,44410,51593,11744,11113
29,6607,7672,42827,46388,13794,14538
29,8577,7673,41783,44168,11812,10574
29,6874,7572,42131,48057,11872,10970
29,6477,7472,42522,42992,11477,13963
30,6632,7660,38123,45478,11895,14718
30,6531,7521,39294,44494,11447,10672
29,6624,7666,41947,46745,11903,11030
30,6412,7584,42864,43180,11333,10746
29,6534,7627,42390,44423,11952,14714
30,6387,7564,40065,45930,12000,10770
29,6380,7602,42030,42974,11811,12450
29,6444,7651,39562,42198,13081,11107
29,5702,7508,39074,43289,11815,15076
29,7153,7711,42259,45332,11602,10755
29,6344,7692,39396,42273,17727,10992
30,6441,7508,38445,41297,12033,10975
29,7044,7639,39053,48152,11887,14098
29,6403,7630,43958,41642,12464,11254
30,6398,7747,39602,42235,11490,12356
29,6861,7670,37930,42144,12010,14460
29,6879,7642,44652,48084,12666,18557
29,6772,7652,42860,42094,11213,10523
29,6544,7605,41116,42286,11716,10875
29,6560,7670,42689,45962,11949,10907
29,6616,7626,43159,46705,11475,16979
29,6228,7700,39509,41636,12034,10674
29,6410,7623,39955,48607,11438,10890
30,6626,7603,41591,47456,11726,11808
29,6465,7555,37060,48031,13146,13938
30,6488,7597,39353,42919,14968,10733
29,6315,7587,37363,45554,11576,10750
30,6457,7615,40869,46353,12008,11380
29,6481,7641,39833,48712,11564,13985
30,6267,7742,44701,46437,11709,11318
30,6421,7654,45586,48270,11201,14225
30,6346,7558,38411,44434,11660,11098
30,6565,7651,38011,46867,11622,13625
29,7034,7653,42693,49793,11345,11194
29,6273,7638,44643,44801,11852,14636
29,5747,7528,39732,44332,12321,10638
29,7627,7663,38537,47822,11101,14296
29,6394,7613,43437,46794,12079,10722
29,6769,7690,40449,41835,14952,10643
29,5540,7751,41793,43647,11451,10964
30,7438,7614,41556,49669,11670,17179
29,5828,7601,43123,41974,14700,10532
29,6382,7747,37928,44170,11151,11284
30,7175,7602,37617,42467,11514,11650
29,6756,7658,40039,45564,11586,19981
30,6298,7591,41191,42489,11207,14207
30,6500,7695,38763,41181,11426,11037
29,6342,7645,38062,44761,12140,10933
30,6538,7510,42610,41666,11119,16554
29,6632,7653,39938,41444,12249,12003
29,6834,7538,37861,42672,11393,11017
29,6459,7643,41936,46244,11750,10571
30,6570,7612,38559,41670,13548,14897
29,6435,7711,37788,42263,11433,10585
29,6853,7508,38327,45246,11310,10896
30,6511,7481,41936,42107,11498,12428
30,6465,7652,38948,41441,14575,14892
29,6702,7548,38079,42599,11262,11060
29,6490,7603,41876,46187,11349,10989
30,6582,7592,38171,42458,11597,10846
29,9421,7590,38380,42203,11147,14422
30,6237,7597,38472,50237,11445,14408
28,6636,7695,40721,42126,11666,13382
29,6375,7551,37619,41795,11193,10544
29,6483,7615,38423,41955,11481,14652
29,6605,7553,41375,46040,11573,10587
29,6308,7674,38124,42235,12877,10668
29,6655,7596,38188,42469,12355,11030
29,6630,7745,37859,45439,11328,15103
30,6333,7668,42661,41660,11507,10635
30,6583,7570,39150,41451,11543,11143
30,6532,8120,37288,41721,11330,10949
29,6577,7671,42933,45639,14632,20446
29,5915,7491,40097,42459,11233,11343
30,6232,7691,39463,41619,11195,11240
30,7362,7870,38416,46356,10909,11347
29,6647,7608,41691,41632,11701,21206
29,6174,7633,39142,42531,11750,10733
30,6712,7672,37844,42580,11288,11588
30,6527,7736,42238,46279,12678,10686
30,6949,7598,37896,42500,13427,15487
30,6685,7667,39238,43419,11169,10620
30,6179,7638,39717,45854,12093,11236
30,6802,7604,42207,43283,12025,10520
29,5943,7607,41544,41492,11607,15598
30,6773,7696,38293,43405,11758,11398
